name,description,publisher,datasetId,dataId,prefecture,municipality,updatedAt,lat,lon,bbox,fileUrl
花のみね（福祉避難所）,,,,7c56f17f-fc80-43fb-9675-00063377ffb8,,,,33.304161,130.449026,,
復旧記念碑,,,,b2633e1e-9977-4fe3-9bff-2c6151f9e14a,,,,40.373945,140.729241,,
Ｒ５亀有・万世橋出張所管内屋外無線ＬＡＮ設備他設置工事,,,,1996f507-7933-494d-b062-cb67f04cd883,,,,35.74805555555556,139.79916666666668,,
論地集会場緊急災害避難所,,,,b495b4b1-d64b-4ec7-88b7-40f5c0a2473c,,,,34.918953,136.997043,,
大口元気こころ館（福祉避難所）,,,,dd4e9e1c-0324-4c90-ac70-661dd07b248e,,,,32.061814,130.610063,,
本村地区防災拠点施設避難所,,,,d086abb2-41e7-45e2-9281-5f8c6ecd088c,,,,32.8283944358,130.12817592,,
基山町保健センター（福祉避難所）,,,,cd7d2527-36af-4ec3-b8af-94c32487c825,,,,33.4266967401,130.52295214,,
老人憩の家（福祉避難所）,,,,b5dfc23e-8c52-4657-9530-76960434d8f3,,,,33.422211,130.520896,,
震災記念の碑,,,,c6051596-5104-4093-b083-1379352b842a,,,,35.695972,139.765196,,
令和５年度小矢部工区除雪作業,,,,322145d4-9028-4f82-bca6-2965e711a14e,,,,36.71388888888889,136.90708333333333,,
令和６年度小矢部工区除雪作業,,,,dd4163cc-3ad5-4bb1-8225-7eaa5de64553,,,,36.71388888888889,136.90708333333333,,
花のみね弐番館（福祉避難所）,,,,a096636a-893e-48fc-a5b8-86eebead5faa,,,,33.3000269991,130.450995,,
上府町荒相地区緊急避難所,,,,c007e412-b6dd-416f-91e0-8bde67f8052d,,,,34.9402776081,132.148530248,,
なかばる紀水苑（福祉避難所）,,,,5b289027-0d9a-47bc-8986-833e92bab85b,,,,33.363689,130.450544,,
平成３０年７月豪雨災害の碑,,,,2a22d4fb-ad8a-4ca4-9491-35d10f7d2747,,,,33.279839,132.540385,,
慰霊之碑,,,,9950dc5f-7a94-4a5c-a598-1f560db68f99,,,,35.012692,134.305517,,
東日本大震災　大津波記念碑,,,,a3ef7f21-34ec-4335-8159-f34ab17cda99,,,,40.099199,141.825173,,
私たちは忘れない(新潟県中越大震災),,,,01ffe066-498b-4363-b923-cbc869fbbbd1,,,,37.313453,138.783108,,
北山村社会福祉協議会（福祉避難所）,,,,80b36cd9-ef7b-44c0-83e6-1f9823cd4ed0,,,,33.9292249991,135.96714,,
慶師野地区防災拠点施設避難所,,,,e7f64476-2db1-429e-b568-da5faf2fe7d9,,,,32.8239455771,130.120233533,,
平成30年7月　豪雨災害の記録天応7,,,,87e70295-90bc-4753-a936-bdafab06f914,,,,34.288306,132.51608,,
黒川災害復旧助成事業竣工記念,,,,2c2a2319-308d-4ab1-84cd-88d562dc9d92,,,,37.113888,140.112817,,
利根町保健福祉センター（旧福祉センター）【福祉避難所】,,,,4c8c288a-aa99-43cd-9600-5a400129e19e,,,,35.871053,140.146419,,
3D都市モデル（Project PLATEAU）和歌山市（2023年度）,,,,abc86275-2aa6-4c5f-9db0-c53a56c42e2c,,,,34.23301732,135.15665805499998,,
雌子小学校,,,,d26669be-856b-4ee2-9e22-42fc27fc7205,,,,35.4563019991,139.597669,,
西柴中学校,,,,d90aff3f-f3e2-4a00-8c35-7dea730bee71,,,,35.352806,139.629344,,
井土ヶ谷小学校,,,,dfe5efce-9557-4e43-8f5d-39497fe26620,,,,35.432684,139.59954,,
南戸塚小学校,,,,e3592914-8858-478b-b83e-5a9e39dc41c9,,,,35.388133,139.525658,,
六つ川西小学校,,,,e6b9ad1d-6ad8-4f19-93fc-27353446093e,,,,35.424882,139.577798,,
綱島小学校,,,,edbb1e65-252c-4a57-b147-0423462c3dd0,,,,35.537394,139.627952,,
芹が谷小学校,,,,f2ca3387-f149-4cb5-8491-c4b2b73384e2,,,,35.415491,139.573876,,
六浦中学校,,,,f3166dcf-8ba6-4f7d-bd8e-cbbf8660150b,,,,35.324698,139.617789,,
東品濃小学校,,,,fe60d3c7-77ab-477b-8f1c-a6b400971485,,,,35.434183,139.560683,,
中川中学校,,,,503f1d5c-ef2d-4dcb-8143-990c81404ff1,,,,35.551197,139.593233,,
荏田南小学校,,,,54e31e66-5082-4170-910b-66abbac3cc44,,,,35.544725,139.556515,,
庄戸小学校,,,,5c710be4-4670-4aa2-9156-f4ea231f8054,,,,35.353081,139.584347,,
千秀小学校,,,,74c70ce7-46e6-4895-a2ce-262f7c8f1bd9,,,,35.371608,139.520075,,
緑が丘中学校,,,,753d924b-b5a6-42e3-94b6-d5781032690d,,,,35.535809,139.536545,,
みたけ台中学校,,,,80470853-cd32-48eb-acfd-cba66e60b8e0,,,,35.557083,139.521434,,
瀬谷中学校,,,,84921704-ffce-4993-b5fb-679725684e99,,,,35.471056,139.481174,,
上飯田中学校,,,,91bd4ddb-1d22-4f7f-a263-297e0b8b1360,,,,35.429766,139.481717,,
大池小学校,,,,94e09a2d-ee0a-4db6-82ea-361c356be976,,,,35.496564,139.531989,,
長津田小学校,,,,aa40faa3-f9ee-42fb-9365-21d04a2932f8,,,,35.530167,139.49113,,
中和田中学校,,,,ab0786e8-9d4e-452e-a596-ea011446fbf7,,,,35.41599,139.498216,,
大師中学校,,,,d3282fe2-e6c7-4f6b-981d-65dcfb86be78,,,,35.535255,139.738886,,
左近山第一小学校,,,,d56bbcdf-b684-4860-abd2-d2d68e698cca,,,,35.462318,139.54985,,
旭北中学校,,,,d5d6ead2-f51b-4960-b31b-aeb5692d9200,,,,35.495536,139.5371,,
川和中学校,,,,d797bb12-f417-49e9-b764-692e1d903f57,,,,35.531004,139.557126,,
瀬谷第二小学校,,,,f0341ee2-96de-4dff-9af1-e1da006795a4,,,,35.46054,139.481966,,
藤が丘小学校,,,,fa324a3a-0cd0-4409-a9d3-78cad02afb9c,,,,35.539114,139.526379,,
霧が丘小学校,,,,19764cfc-7167-4f95-833a-ffd7130dfbf1,,,,35.512089,139.50713,,
殿町小学校,,,,28b792b4-4c2f-4682-ad08-f953e1382838,,,,35.537505,139.745469,,
嶮山小学校,,,,3b1bd815-463b-4a3b-aacd-95760da5586f,,,,35.575887,139.52946,,
東山田小学校,,,,448be642-2e68-4523-b7a8-5c2c9e9c8ed7,,,,35.564417,139.595704,,
田奈小学校,,,,60a9bfd1-20b3-43cd-85be-5edf366cfe4b,,,,35.539306,139.500213,,
上白根小学校,,,,6707b7a0-6f0e-4960-99b0-342508a2ebb6,,,,35.49548,139.539433,,
中和田南小学校,,,,69fb046c-1203-44d4-80e5-743c35b499c3,,,,35.398242,139.484383,,
東本郷小学校,,,,784825e3-87d2-4040-8642-7d09d5004688,,,,35.505081,139.581898,,
榎が丘小学校,,,,79a5b8dd-624e-4906-9906-d2e60b5a02e3,,,,35.541918,139.509879,,
